Country / Territory;ISO3;Region;CPI score 2021;CPI score 2020;Change since 2020;CPI score 2017;Change since 2017;CPI Score 2012;Change since 2012;;;;;;;
Denmark;DNK;WE/EU;88;88;0;88;0;90;-2;;;;;;;
New Zealand;NZL;AP;88;88;0;89;-1;90;-2;;;;;;;
Finland;FIN;WE/EU;88;85;3;85;3;90;-2;;;;;;;
Singapore;SGP;AP;85;85;0;84;1;87;-2;;;;;;;
Sweden;SWE;WE/EU;85;85;0;84;1;88;-3;;;;;;;
Norway;NOR;WE/EU;85;84;1;85;0;85;0;;;;;;;
Switzerland;CHE;WE/EU;84;85;-1;85;-1;86;-2;;;;;;;
Netherlands;NLD;WE/EU;82;82;0;82;0;84;-2;;;;;;;
Luxembourg;LUX;WE/EU;81;80;1;82;-1;80;1;;;;;;;
Germany;DEU;WE/EU;80;80;0;81;-1;79;1;;;;;;;
United Kingdom;GBR;WE/EU;78;77;1;82;-4;74;4;;;;;;;
Hong Kong;HKG;AP;76;77;-1;77;-1;77;-1;;;;;;;
Canada;CAN;AME;74;77;-3;82;-8;84;-10;;;;;;;
Austria;AUT;WE/EU;74;76;-2;75;-1;69;5;;;;;;;
Estonia;EST;WE/EU;74;75;-1;71;3;64;10;;;;;;;
Iceland;ISL;WE/EU;74;75;-1;77;-3;82;-8;;;;;;;
Ireland;IRL;WE/EU;74;72;2;74;0;69;5;;;;;;;
Australia;AUS;AP;73;77;-4;77;-4;85;-12;;;;;;;
Belgium;BEL;WE/EU;73;76;-3;75;-2;75;-2;;;;;;;
Japan;JPN;AP;73;74;-1;73;0;74;-1;;;;;;;
Uruguay;URY;AME;73;71;2;70;3;72;1;;;;;;;
France;FRA;WE/EU;71;69;2;70;1;71;0;;;;;;;
Seychelles;SYC;SSA;70;66;4;60;10;52;18;;;;;;;
United Arab Emirates;ARE;MENA;69;71;-2;71;-2;68;1;;;;;;;
Bhutan;BTN;AP;68;68;0;67;1;63;5;;;;;;;
Taiwan;TWN;AP;68;65;3;63;5;61;7;;;;;;;
Chile;CHL;AME;67;67;0;67;0;72;-5;;;;;;;
United States of America;USA;AME;67;67;0;75;-8;73;-6;;;;;;;
Barbados;BRB;AME;65;64;1;68;-3;76;-11;;;;;;;
